x, y
64769.86013, 0.001685
64779.86013, 0.0034170651980292865
64789.86013, 0.005196195594087859
64799.86013, 0.0070223911881757166
64809.86013, 0.008895651980292862
64819.86013, 0.010815977970439292
64829.86013, 0.01278336915861501
64839.86013, 0.014797825544820013
64849.86013, 0.016859347129054302
64859.86013, 0.018967933911317875
64869.86013, 0.021123585891610737
64879.86013, 0.023326303069932882
64889.86013, 0.025576085446284317
64899.86013, 0.027872933020665038
64909.86013, 0.030216845793075042
64919.86013, 0.032607823763514336
64929.86013, 0.035045866931982916
64939.86013, 0.037530975298480776
64949.86013, 0.04006314886300793
64959.86013, 0.04264238762556437
64969.86013, 0.045268691586150094
64979.86013, 0.04794206074476509
64989.86013, 0.05066249510140939
64999.86013, 0.05337824692299035
65009.86013, 0.05606612392172852
65019.86013, 0.05872612609762392
65029.86013, 0.06135825345067654
65039.86013, 0.06396250598088637
65049.86013, 0.06653888368825345
65059.86013, 0.06908738657277774
65069.86013, 0.07160801463445925
65079.86013, 0.07410076787329792
65089.86013, 0.07656564628929387
65099.86013, 0.07900264988244703
65109.86013, 0.0814117786527574
65119.86013, 0.083793032600225
65129.86013, 0.08614641172484984
65139.86013, 0.08847191602663186
65149.86013, 0.09076954550557113
65159.86013, 0.0930393001616676
65169.86013, 0.09528117999492129
65179.86013, 0.09749518500533218
65189.86013, 0.09968131519290031
65199.86013, 0.10183957055762567
65209.86013, 0.10396995109950823
65219.86013, 0.10607245681854803
65229.86013, 0.10814708771474503
65239.86013, 0.1101938437880993
65249.86013, 0.11221272503861075
65259.86013, 0.11420373146627942
65269.86013, 0.11616686307110533
65279.86013, 0.11810211985308844
65289.86013, 0.12000950181222879
65299.86013, 0.12188900894852635
65309.86013, 0.1237406412619811
65319.86013, 0.1255643987525931
65329.86013, 0.1273602814203623
65339.86013, 0.12912828926528871
65349.86013, 0.13086842228737233
65359.86013, 0.13258068048661323
65369.86013, 0.1342650638630113
65379.86013, 0.1359215724165666
65389.86013, 0.13755020614727914
65399.86013, 0.13915096505514896
65409.86013, 0.1407238491401759
65419.86013, 0.14226885840236012
65429.86013, 0.14378599284170152
65439.86013, 0.14527525245820014
65449.86013, 0.14673663725185598
65459.86013, 0.14817014722266908
65469.86013, 0.14957578237063937
65479.86013, 0.15095354269576688
65489.86013, 0.1523034281980516
65499.86013, 0.15362543887749355
65509.86013, 0.15491957473409274
65519.86013, 0.15618583576784914
65529.86013, 0.15742422197876277
65539.86013, 0.15863473336683356
65549.86013, 0.1598173699320616
65559.86013, 0.1609721316744469
65569.86013, 0.1620990185939894
65579.86013, 0.1631980306906891
65589.86013, 0.16426916796454605
65599.86013, 0.1653124304155602
65609.86013, 0.16632781804373156
65619.86013, 0.16731533084906017
65629.86013, 0.16827496883154597
65639.86013, 0.169206731991189
65649.86013, 0.17011062032798924
65659.86013, 0.1709866338419467
65669.86013, 0.1718347725330614
65679.86013, 0.17265503640133334
65689.86013, 0.17344742544676245
65699.86013, 0.1742119396693488
65709.86013, 0.1749485790690924
65719.86013, 0.17565734364599317
65729.86013, 0.17633823340005117
65739.86013, 0.17699124833126642
65749.86013, 0.17761638843963887
65759.86013, 0.17821365372516854
65769.86013, 0.1787830441878554
65779.86013, 0.17932455982769954
65789.86013, 0.17983820064470085
65799.86013, 0.1803239666388594
65809.86013, 0.18078185781017517
65819.86013, 0.18121187415864817
65829.86013, 0.18161401568427837
65839.86013, 0.18198828238706583
65849.86013, 0.18233467426701044
65859.86013, 0.18265319132411234
65869.86013, 0.18294383355837143
65879.86013, 0.18320660096978775
65889.86013, 0.18344149355836126
65899.86013, 0.1836569225376712
65909.86013, 0.1838738495589911
65919.86013, 0.18409227462232097
65929.86013, 0.18431219772766078
65939.86013, 0.1845336188750105
65949.86013, 0.18475653806437015
65959.86013, 0.18498095529573974
65969.86013, 0.18520687056911928
65979.86013, 0.18543428388450875
65989.86013, 0.18566319524190816
65999.86013, 0.18589360464131752
66009.86013, 0.1861255120827368
66019.86013, 0.18635891756616604
66029.86013, 0.1865938210916052
66039.86013, 0.1868302226590543
66049.86013, 0.18706812226851333
66059.86013, 0.18730751991998232
66069.86013, 0.18754841561346125
66079.86013, 0.1877908093489501
66089.86013, 0.18803470112644888
66099.86013, 0.18828009094595763
66109.86013, 0.1885269788074763
66119.86013, 0.18877536471100492
66129.86013, 0.18902524865654347
66139.86013, 0.18927663064409198
66149.86013, 0.18952951067365037
66159.86013, 0.18978388874521876
66169.86013, 0.19003976485879706
66179.86013, 0.1902971390143853
66189.86013, 0.19055601121198348
66199.86013, 0.19081638145159163
66209.86013, 0.19107824973320967
66219.86013, 0.19134161605683767
66229.86013, 0.19160648042247558
66239.86013, 0.19187284283012346
66249.86013, 0.19214070327978128
66259.86013, 0.19241006177144904
66269.86013, 0.19268091830512674
66279.86013, 0.19295327288081435
66289.86013, 0.1932271254985119
66299.86013, 0.19350247615821942
66309.86013, 0.19377932485993687
66319.86013, 0.19405767160366427
66329.86013, 0.19433751638940158
66339.86013, 0.19461885921714886
66349.86013, 0.19490170008690605
66359.86013, 0.19518603899867318
66369.86013, 0.19547187595245025
66379.86013, 0.19575921094823726
66389.86013, 0.1960480439860342
66399.86013, 0.19633837506584112
66409.86013, 0.19663020418765795
66419.86013, 0.19692353135148472
66429.86013, 0.1972183565573214
66439.86013, 0.19751467980516807
66449.86013, 0.19781250109502463
66459.86013, 0.19811182042689116
66469.86013, 0.19841263780076762
66479.86013, 0.198714953216654
66489.86013, 0.19901876667455035
66499.86013, 0.19932407817445666
66509.86013, 0.19963088771637286
