617.831719, 2.73, 0.67
1448.793346, 4.26, 0.13
2091.705118, 3.63, 0.05
2397.640622, 3.61, 0.4
3031.352352, 6.41, 0.35
7060.332445, 2.42, 0.1
7230.373831, 2.71, 0.12
7473.45947, 3.09, 0.39
7590.5831, 1.81, 0.05
10232.96069, 4.16, 1.82
10382.90687, 2.82, 0.43
25693.91314, 1.19, 0.27
25926.34337, 1.16, 0.07
36128.13727, 5.82, 0.07
36391.40765, 4.92, 0.79
36450.09492, 0.8, 0.06
36936.82194, 2.74, 0.25
37652.77447, 6.92, 1.05
38390.42947, 3.36, 0.44
42610.00107, 3.1, 2.79
42825.62058, 5.99, 1.04
42927.6693, 6.29, 0.7
45383.00931, 2.33, 0.19
45567.52993, 2.68, 0.58
45802.67771, 1.38, 0.69
46013.83144, 1.05, 0.1
46228.91142, 2.1, 0.32
46264.8684, 4.05, 0.44
47213.39053, 4.26, 0.33
47304.27074, 2.16, 0.32
47458.32478, 2.96, 0.16
47854.6073, 9.75, 0.58
49014.23627, 1.6, 0.08
49385.76887, 3.37, 0.75
52318.26724, 2.96, 0.24
52487.6941, 4.35, 0.39
54638.30665, 0.99, 1.72
54727.70305, 2.29, 0.28
55248.92581, 3.44, 0.41
55702.83825, 3.18, 2.02
57503.5698, 2.57, 0.15
57622.80197, 3.02, 0.16
57699.94415, 3.95, 0.32
57915.28065, 4.87, 0.15
62083.3864, 2.95, 0.4
62219.82704, 2.89, 0.1
62812.83819, 1.7, 1.11
70169.23987, 1.71, 0.37
70182.29916, 1.19, 0.07
70328.07704, 0.99, 0.36
70519.06825, 3.28, 0.89
71082.0465, 5.47, 1.05
72941.82058, 1.45, 0.22
73265.36195, 1.97, 0.1
73907.02725, 1.2, 0.15
74254.4941, 6.26, 2.34
74344.9346, 3.84, 1.37
74575.67114, 2.11, 0.29
74856.94563, 2.67, 0.15
75005.4073, 1.14, 0.29
75005.4073, 6.51, 2.78
75048.1281, 2.57, 0.18
75391.73032, 9.19, 0.69
80378.44403, 0.98, 0.2
81835.30763, 1.89, 0.87
81940.01499, 2.12, 0.19
82447.2165, 5.25, 0.8
82447.2165, 2.41, 0.28
82447.2165, 2.04, 0.18
